Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00553168	0.15	3858.73
0.00554991	0.15	3858.69
0.00556819	0.15	3858.65
0.00558654	0.15	3858.61
0.00560495	0.15	3858.57
0.00562341	0.15	3858.53
0.00564194	0.15	3858.49
0.00566053	0.15	3858.44
0.00567918	0.15	3858.4
0.00569789	0.15	3858.36
0.00571667	0.15	3858.32
0.0057355	0.15	3858.28
0.0057544	0.15	3858.23
0.00577336	0.15	3858.19
0.00579238	0.15	3858.15
0.00581147	0.15	3858.11
0.00583061	0.15	3858.06
0.00584982	0.15	3858.02
0.0058691	0.15	3857.98
0.00588844	0.15	3857.93
0.00590784	0.15	3857.89
0.0059273	0.15	3857.85
0.00594683	0.15	3857.8
0.00596643	0.15	3857.76
0.00598608	0.15	3857.71
0.00600581	0.15	3857.67
0.0060256	0.15	3857.62
0.00604545	0.15	3857.58
0.00606537	0.15	3857.54
0.00608535	0.15	3857.49
0.0061054	0.15	3857.45
0.00612552	0.15	3857.4
0.0061457	0.15	3857.35
0.00616595	0.15	3857.31
0.00618627	0.15	3857.26
0.00620665	0.15	3857.22
0.0062271	0.15	3857.17
0.00624762	0.15	3857.12
0.0062682	0.15	3857.08
0.00628885	0.15	3857.03
0.00630957	0.15	3856.99
0.00633036	0.15	3856.94
0.00635122	0.15	3856.89
0.00637215	0.15	3856.84
0.00639314	0.15	3856.8
0.00641421	0.15	3856.75
0.00643534	0.15	3856.7
0.00645654	0.15	3856.65
0.00647782	0.15	3856.6
0.00649916	0.15	3856.56
0.00652057	0.15	3856.51
0.00654206	0.15	3856.46
0.00656361	0.15	3856.41
0.00658524	0.15	3856.36
0.00660693	0.15	3856.31
0.0066287	0.15	3856.26
0.00665054	0.15	3856.21
0.00667246	0.15	3856.16
0.00669444	0.15	3856.11
0.0067165	0.15	3856.06
0.00673863	0.15	3856.01
0.00676083	0.15	3855.96
0.00678311	0.15	3855.91
0.00680545	0.15	3855.86
0.00682788	0.15	3855.81
0.00685037	0.15	3855.76
0.00687294	0.15	3855.71
0.00689559	0.15	3855.66
0.00691831	0.15	3855.61
0.0069411	0.15	3855.55
0.00696397	0.15	3855.5
0.00698692	0.15	3855.45
0.00700994	0.15	3855.4
0.00703304	0.15	3855.34
0.00705621	0.15	3855.29
0.00707946	0.15	3855.24
0.00710278	0.15	3855.18
0.00712619	0.15	3855.13
0.00714967	0.15	3855.08
0.00717322	0.15	3855.02
0.00719686	0.15	3854.97
0.00722057	0.15	3854.92
0.00724436	0.15	3854.86
0.00726823	0.15	3854.81
0.00729218	0.15	3854.75
0.0073162	0.15	3854.7
0.00734031	0.15	3854.64
0.00736449	0.15	3854.59
0.00738876	0.15	3854.53
0.0074131	0.15	3854.47
0.00743753	0.15	3854.42
0.00746203	0.15	3854.36
